Schwaiger and Abmayer 2013 - Accounting and Management Information Systems - A Semantic Integration.pdf
Not valid csv text, check the article
Li and Zhu 2008 - Generalized Stochastic Workflow net-based quantitative analysis of business process performance.pdf
Visual PPINOT (Process Performance Indicator NOTation),não,"“Third, inspired by the work of del-Río-Ortega et al. (2019), we suggest integrating new BPMN extension elements that enable the representation of key performance indicators (KPIs).”"
Gallotta et al. 2018 - Using the Delphi method to verify a framework to implement sustainability initiatives.pdf
Modelo,TipoUso,TrechoQueCorrobora
PADME,Usado para construir medidores,"“This study develops a PADME (Product, Aesthetic, Digitalization, Management and Experience) efficiency evaluation model for the non-financial components of tourism factories. This study has also successfully developed the evaluation scale of the PADME model.”"
DEA (Data Envelopment Analysis),Usado para construir medidores,“The data envelopment analysis (DEA) approach was used to measure the operational efficiency of tourism factories.”
Delphi (método Delphi modificado),Usado para construir medidores,"“In this study, a modified Delphi method was used to set the non-financial measures … and the modified Delphi method was successfully applied to obtain measures of the non-financial aspects of the tourism factory.”"
CCR Model (DEA-CCR),Usado para construir medidores,"“After the data collection was completed, the technical efficiency (TE)… were obtained using DEAP 2.1 software.” (o TE calculado pelo DEAP utiliza o modelo CCR de retornos constantes de escala descrito no texto)"
BCC Model (DEA-BCC),Usado para construir medidores,"“Banker, Charnes, and Cooper suggest that the BCC model can calculate technical efficiency (TE) and scale efficiency (SE)…”. A pesquisa reporta valores de PTE e SE, obtidos com o modelo BCC."
Balanced Scorecard,Apenas citado,"“Kaplan and Norton were the first to propose the ‘balanced scorecard’ approach to performance evaluation…” (mencionado como antecedente histórico, não aplicado no estudo)"
Cho et al. 2017 - Evaluating the effect of best practices for business p ... esign - An evidence-based approach based on process mining techniques.pdf
Modelo,Usado_para_construir,Trecho_corroboracao
"Balanced Scorecard (Kaplan & Norton, 1996)",não,“Process performance measurement has its roots in the balanced score-card method developed by Kaplan and Norton [5] …”
Business Excellence Model,não,"“…there have been other approaches that applied qualitative research method to assess process performances, such as Business Excellence Model, Cambridge Model, Integrated Performance Measurement, and Performance Pyramid [17].”"
Cambridge Model,não,"“…other approaches that applied qualitative research method to assess process performances, such as Business Excellence Model, Cambridge Model, Integrated Performance Measurement, and Performance Pyramid [17].”"
Integrated Performance Measurement,não,"“…other approaches that applied qualitative research method to assess process performances, such as Business Excellence Model, Cambridge Model, Integrated Performance Measurement, and Performance Pyramid [17].”"
Performance Pyramid,não,"“…other approaches that applied qualitative research method to assess process performances, such as Business Excellence Model, Cambridge Model, Integrated Performance Measurement, and Performance Pyramid [17].”"
"Process Performance Measurement Framework (Kueng & Krahn, 1999)",não,“Kueng and Krahn [18] proposed a process performance measurement framework itself that spans from identifying process goals to improving business processes using performance measurements.”
"Six PPI Requirements (Kueng, 2000)",não,"“Also, Kueng [2] proposed how to determine the performance indicators with a series of steps and suggested six requirements on PPIs: quantifiability, sensitivity, linearity, reliability, efficiency, and improvement-oriented.”"
"KPI Ontology approach (Wetzstein et al., 2008)",não,“Wetzsteing et al. [3] … focused on proposing how to develop individual process indicators based on a KPI ontology …”
"Indicator Modelling Framework (Popova & Sharpanskykh, 2010)",não,“… Popova and Sharpanskykh [6] focused on proposing how to develop individual process indicators based on … an indicator modeling framework …”
"PPINOT Metamodel (Del-Río-Ortega et al., 2013)",não,"“Del-Rio-Ortega et al. [4] proposed PPINOT, i.e., a metamodel to define PPIs comprehensively.”"
"Performance Measurement System (Strecker et al., 2012)",não,“Strecker et al. [19] … proposed a performance measurement system based on PPIs.”
"Performance Measurement System (Pinheiro de Lima et al., 2013)",não,“… Pinheiro de Lima et al. [20] proposed a performance measurement system based on PPIs.”
Quiroz-Flores et al. 2022 - Integrated Lean Logistics - Warehousing model to reduce Lead Time in an SME of food sector - A research in Peru.pdf
Indicador,Tipo de Uso,Trecho de suporte  
On-time Delivery (OTD),Construção de medidor,"“…estes indicadores … permitirão medir o desempenho … por outro lado, considera-se que o indicador líder é o KPI On-time delivery (OTD).” (Seção 3.1.3 / Tabela 2)  "
5S Audit Score,Construção de medidor,“5S Audit … quantifica o grau de cumprimento de cada componente 5S…” (Tabela 2)  
Amount of Expired Stock of Supplies,Construção de medidor,“Amount of Expired Stock of Supplies … quantifica o total de matéria-prima vencida…” (Tabela 2)  
MAPE – Mean Absolute Percentage Error,Construção de medidor,“Average Mean Absolute Error – MAPE (%) … determina a diferença percentual entre a demanda real e a prevista…” (Tabela 2)  
Time Set-Up (%),Construção de medidor,“Time Set-Up (%) … permite calcular a melhoria referente ao tempo da situação inicial (IST) e final (FST)…” (Tabela 2)  
Number of Extra Purchases,Construção de medidor,“Number of extra purchases … detalha o número de vezes que se realizam compras adicionais na semana de trabalho.” (Tabela 2)  
Custo de Materiais, Apenas citado,“…alcançou uma redução de 56 % no custo dos materiais…” ([9] – Seção 2.1)  
Ruptura de Estoque, Apenas citado,“…a redução da ruptura de estoque de 7 % para 1 %…” ([10] – Seção 2.1)  
Satisfação do Cliente, Apenas citado,“…aumento da satisfação do cliente em 12 % …” ([7] – Seção 2.1)  
Duração de Estoques, Apenas citado,“…aumento na duração dos estoques de 62 % para 84 %.” ([7] – Seção 2.1)  
Eficiência de Processo, Apenas citado,"“…atingindo uma eficiência entre 58 % e 67 %.” ([19], [20] – Seção 2.2) / “…incremento da eficiência do processo em 15,47 %.” ([20] – Seção 2.2)  "
Expired Supplies (caso FEFO literatura),Apenas citado,"“…após implementar, o número de insumos vencidos foi reduzido em 100 %.” ([17] – Seção 2.2)"
Ren et al. 2006 - Linking strategic objectives to operations - towards a more effective supply chain decision making.pdf
Modelo,Tipo de utilização,Trecho do texto que corrobora  
Balanced Scorecard (BSC),Usado para construir medidores,"“The Balanced Scorecard (BSC) … is not only a performance measurement system, but a strategy management tool that can facilitate managers to find performance drivers, to explore and describe strategic action map precisely, to implement strategy effectively, and to learn from the circular process.”  "
